Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_boat,"-0,0129680077843366","1,25727554650679E-06","-0,176841515724912",0,0,0,"13,5985858196954","0,12499527878428","8,16960124483469E-07","-0,00148374605527536","0,0961950105001574","8,2799482679275E-06","0,136442575579436",0,0,0,0,0,0,package://boat version 5urdf/meshes/base_boat.STL,1,1,1,1,0,0,0,0,0,0,package://boat version 5urdf/meshes/base_boat.STL,,Assemblage full bateau-2/corp motor avec axe-1/corps motor version 2-2;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1;assemblage axe mvp1-1;assemblage axe mvp1-2;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1;Assemblage full bateau-1/corp motor avec axe-1/corps motor version 2-2,Système_coordonnées_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
axe_gauche,"1,2775E-06","-4,8777E-06","0,01649",0,0,0,"0,068101","2,3224E-05","-1,6786E-09","-1,9806E-09","2,3248E-05","7,4828E-09","1,7239E-05",0,0,0,0,0,0,package://boat version 5urdf/meshes/axe_gauche.STL,1,1,1,1,0,0,0,0,0,0,package://boat version 5urdf/meshes/axe_gauche.STL,,Assemblage full bateau-2/corp motor avec axe-1/axe corps motor-2,Origin_axe_gauche_joint5,Axe_motor_gauche,axe_gauche_joint,fixed,"-0,26329","0,39873","-0,3785","-1,5708",0,"-1,5708",base_boat,0,0,0,,,,,,,,,,,,
fan_gauche,"0,012188","-2,0306E-08","3,2212E-08",0,0,0,"0,0079579","3,7271E-06","7,2525E-13","-1,4425E-13","2,3932E-06","-2,0319E-10","2,3946E-06",0,0,0,0,0,0,package://boat version 5urdf/meshes/fan_gauche.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://boat version 5urdf/meshes/fan_gauche.STL,,Assemblage full bateau-2/corp motor avec axe-1/fans-3,Système_coordonnées_gauche,Axe_motor_gauche,fan_gauche_joint,continuous,0,0,"-0,0069715","1,5708","-1,5708",0,axe_gauche,1,0,0,,,,,,,,,,,,
axe_droite,"1,27735965964326E-06","-4,87801423292022E-06","0,0164902268129701",0,0,0,"0,0681006960211184","2,32241590930712E-05","-1,67850416577008E-09","-1,98067451231707E-09","2,32478036569559E-05","7,48276057501103E-09","1,72388173834412E-05",0,0,0,0,0,0,package://boat version 5urdf/meshes/axe_droite.STL,1,1,1,1,0,0,0,0,0,0,package://boat version 5urdf/meshes/axe_droite.STL,,Assemblage full bateau-1/corp motor avec axe-1/axe corps motor-2,Origin_axe_droite_joint5,Axe_motor_droite,axe_droite_joint,fixed,"-0,26329","-0,40127","-0,3785","-1,5708",0,"-1,5708",base_boat,0,0,0,,,,,,,,,,,,
fan_droite,"0,012188","-0,8","3,2212E-08",0,0,0,"0,0079579","3,7271E-06","7,2525E-13","-1,4425E-13","2,3932E-06","-2,0319E-10","2,3946E-06",0,0,0,0,0,0,package://boat version 5urdf/meshes/fan_droite.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://boat version 5urdf/meshes/fan_droite.STL,,Assemblage full bateau-1/corp motor avec axe-1/fans-3,Système_coordonnées_gauche,Axe_motor_droite,fan_droite_joint,continuous,"-0,8",0,"-0,0069715","1,5708","-1,5708",0,axe_droite,1,0,0,,,,,,,,,,,,
