Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_drone,"-1,87084654035968E-08","-3,11056949087174E-08","0,00181069275232664",0,0,0,"0,772422321428976","0,000570791861737274","1,96214205373143E-10","1,01113804456808E-11","0,000596837083493976","1,68176349113393E-11","0,000860646965652608",0,0,0,0,0,0,package://dronesm/meshes/base_drone.STL,"0,501960784313725","0,501960784313725","0,501960784313725",1,0,0,0,0,0,0,package://dronesm/meshes/base_drone.STL,,base_top-1;arm-4;motor.prt-2;motor.prt-4;arm-2;leg-2;leg-3;leg-1;leg-4;arm-1;base_bottom-1;motor.prt-1;arm-3;motor.prt-3,Systèmecoordonnéesbaselink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fan_AVD,"-1,17241966135495E-10","4,72893946223962E-10","-0,00226734727215817",0,0,0,"0,0792353968916005","0,000565443698147487","3,58249136766149E-05","2,16111464202729E-14","4,61426738699741E-06","-8,94226441792596E-14","0,000569675887358225",0,0,0,0,0,0,package://dronesm/meshes/fan_AVD.STL,"0,592156862745098","0,666666666666667","0,682352941176471",1,0,0,0,0,0,0,package://dronesm/meshes/fan_AVD.STL,,propeller.prt-4,Systèmecoordonnées_AVD,AxeAVD,fan_AVDjoint,continuous,"0,16299","-0,16299","0,0445",0,0,0,base_drone,0,0,1,,,,,,,,,,,,
fan_AVG,"7,73890146410494E-10","3,76828811210483E-11","-0,00226734731708393",0,0,0,"0,0792353990603971","0,000538735087364471","0,000124696172003502","6,98765381782958E-14","3,1323033712424E-05","2,42697974317243E-13","0,000569676047929746",0,0,0,0,0,0,package://dronesm/meshes/fan_AVG.STL,"0,592156862745098","0,666666666666667","0,682352941176471",1,0,0,0,0,0,0,package://dronesm/meshes/fan_AVG.STL,,propeller.prt-3,Systèmecoordonnées_AVG,AxeAVG,fan_AVGjoint,continuous,"0,16299","0,16299","0,0445",0,0,0,base_drone,0,0,1,,,,,,,,,,,,
fan_AD,"-4,84437157055595E-10","5,19363441142673E-11","-0,00226734441902539",0,0,0,"0,0792351821581551","4,74236226564284E-05","0,000153165074142608","9,14136564848287E-14","0,000522634513948098","-1,0346031503665E-14","0,000569676063471998",0,0,0,0,0,0,package://dronesm/meshes/fan_AD.STL,"0,592156862745098","0,666666666666667","0,682352941176471",1,0,0,0,0,0,0,package://dronesm/meshes/fan_AD.STL,,propeller.prt-1,Systèmecoordonnées_AD,AxeAD,fan_ADjoint,continuous,"-0,16299","-0,16299","0,0445",0,0,0,base_drone,0,0,1,,,,,,,,,,,,
fan_AG,"7,72497538159556E-10","5,97825573767086E-11","-0,00226734731708395",0,0,0,"0,0792353990603964","0,000531196145004461","0,000138987948706614","6,29119309366546E-14","3,88619760724263E-05","2,44595672160963E-13","0,000569676047929738",0,0,0,0,0,0,package://dronesm/meshes/fan_AG.STL,"0,592156862745098","0,666666666666667","0,682352941176471",1,0,0,0,0,0,0,package://dronesm/meshes/fan_AG.STL,,propeller.prt-2,Système de coordonnées5,AxeAG,fan_AGjoint,continuous,"-0,16299","0,16299","0,0445",0,0,0,base_drone,0,0,1,,,,,,,,,,,,
