Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_drone,"0,0044251","0,030145","0,182",0,0,0,"0,77242","0,00057079","1,0111E-11","-1,9621E-10","0,00086065","-1,6818E-11","0,00059684",0,0,0,0,0,0,package://dronesmb/meshes/base_drone.STL,"0,50196","0,50196","0,50196",1,0,0,0,0,0,0,package://dronesmb/meshes/base_drone.STL,,base_top-1;arm-4;motor.prt-2;motor.prt-4;arm-2;leg-2;leg-3;leg-1;leg-4;arm-1;base_bottom-1;motor.prt-1;arm-3;motor.prt-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fan_AVD,"-1,1818E-10","4,7891E-10","-0,0022673",0,0,0,"0,079235","0,00056544","3,5825E-05","2,2128E-14","4,6143E-06","-9,0619E-14","0,00056968",0,0,0,0,0,0,package://dronesmb/meshes/fan_AVD.STL,"0,59216","0,66667","0,68235",1,0,0,0,0,0,0,package://dronesmb/meshes/fan_AVD.STL,,propeller.prt-4,Systèmecoordonnées_AVD,AxeAVD,fan_AVDjoint,continuous,"0,16741","-0,34499","0,072835",0,0,0,base_drone,0,0,1,,,,,,,,,,,,
fan_AVG,"7,7592E-10","3,1356E-11","-0,0022673",0,0,0,"0,079235","0,00053874","0,0001247","6,9632E-14","3,1323E-05","2,4299E-13","0,00056968",0,0,0,0,0,0,package://dronesmb/meshes/fan_AVG.STL,"0,59216","0,66667","0,68235",1,0,0,0,0,0,0,package://dronesmb/meshes/fan_AVG.STL,,propeller.prt-3,Systèmecoordonnées_AVG,AxeAVG,fan_AVGjoint,continuous,"0,16741","-0,019012","0,072835",0,0,0,base_drone,0,0,1,,,,,,,,,,,,
fan_AD,"-4,9041E-10","5,3118E-11","-0,0022673",0,0,0,"0,079235","4,7424E-05","0,00015317","9,2715E-14","0,00052263","-1,027E-14","0,00056968",0,0,0,0,0,0,package://dronesmb/meshes/fan_AD.STL,"0,59216","0,66667","0,68235",1,0,0,0,0,0,0,package://dronesmb/meshes/fan_AD.STL,,propeller.prt-1,Systèmecoordonnées_AD,AxeAD,fan_ADjoint,continuous,"-0,15856","-0,34499","0,072835",0,0,0,base_drone,0,0,1,,,,,,,,,,,,
fan_AG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://dronesmb/meshes/fan_AG.STL,1,1,1,1,0,0,0,0,0,0,package://dronesmb/meshes/fan_AG.STL,,propeller.prt-2,Système de coordonnées5,AxeAG,fan_AGjoint,continuous,"-0,15856","-0,019012","0,072835",0,0,0,base_drone,0,0,1,,,,,,,,,,,,
