Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
baseboatclening,"-0,052968","7,6111E-07","0,24766",0,0,0,"13,599","0,125","9,4664E-07","-0,0014834","0,096195","8,2617E-06","0,13644",0,0,0,0,0,0,package://boatcleaningd/meshes/baseboatclening.STL,1,1,1,1,0,0,0,0,0,0,package://boatcleaningd/meshes/baseboatclening.STL,,Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/mvp body l1_ with hole and min body and the out put shape HATCH COVER-1;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/mvp body l3 selfwork-1;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-5;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/mvp body l2 with hole-1;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-6;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-8;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-7;Assemblage full bateau-1/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/HATCH COVER-1;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/HATCH COVER-1;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-7;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-8;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-5;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/mvp body l2 with hole-1;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/mvp body l1_ with hole and min body and the out put shape HATCH COVER-1;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/link2-6;Assemblage full bateau-2/new 1 Assemblage MVP with hatch cover and hatch axes and holes-1/mvp body l3 selfwork-1;Assemblage full bateau-2/corp motor avec axe-1/corps motor version 2-2;assemblage axe mvp1-1/un bouchon-5;assemblage axe mvp1-1/un bouchon-4;assemblage axe mvp1-1/un bouchon-3;assemblage axe mvp1-1/un bouchon-1;assemblage axe mvp1-1/axe mvp laste version wih mince-2;assemblage axe mvp1-1/axe mvp laste version wihtout mince-1;assemblage axe mvp1-2/un bouchon-5;assemblage axe mvp1-2/un bouchon-4;assemblage axe mvp1-2/un bouchon-3;assemblage axe mvp1-2/un bouchon-1;assemblage axe mvp1-2/axe mvp laste version wih mince-2;assemblage axe mvp1-2/axe mvp laste version wihtout mince-1;Assemblage full bateau-1/corp motor avec axe-1/corps motor version 2-2,Système de coordonnées4,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
axegauche,"1,27980339592604E-06","-4,87536581963988E-06","0,0164902227581927",0,0,0,"0,0667653794483585","2,27687803802025E-05","-1,64257271106359E-09","-1,94711082041723E-09","2,27919562045217E-05","7,33475975049114E-09","1,69007967588849E-05",0,0,0,0,0,0,package://boatcleaningd/meshes/axegauche.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://boatcleaningd/meshes/axegauche.STL,,Assemblage full bateau-2/corp motor avec axe-1/axe corps motor-2,Origin_axegauchejoint3,Axegauche,axegauchejoint,fixed,"-0,30329","0,39873","0,046","-1,5708","-0,0017453","-1,5708",baseboatclening,0,0,0,,,,,,,,,,,,
fangauche,"0,0121880649596038","-1,96166327626202E-09","4,4580179797693E-08",0,0,0,"0,00795785659641876","3,72710558894515E-06","2,12970221795389E-13","-8,34019277804446E-13","2,39331655167285E-06","-4,61638273468624E-10","2,39447831194742E-06",0,0,0,0,0,0,package://boatcleaningd/meshes/fangauche.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://boatcleaningd/meshes/fangauche.STL,,Assemblage full bateau-2/corp motor avec axe-1/fans-3,Système_coordonnées_gauche,Axegauche,fangauchejoint,continuous,0,0,"-0,0065208","1,5691","-1,5708",0,axegauche,1,0,0,,,,,,,,,,,,
axedroit,"1,27706300609431E-06","-4,87768385248888E-06","0,0164902268079528",0,0,0,"0,0667653874530656","2,27687841690494E-05","-1,64569925594943E-09","-1,94169064678966E-09","2,2791962798787E-05","7,33603381553864E-09","1,6900800530698E-05",0,0,0,0,0,0,package://boatcleaningd/meshes/axedroit.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://boatcleaningd/meshes/axedroit.STL,,Assemblage full bateau-1/corp motor avec axe-1/axe corps motor-2,Origin_axedroitjoint3,AxeDroit,axedroitjoint,fixed,"-0,30329","-0,40127","0,046","-1,5708","-0,0017453","-1,5708",baseboatclening,0,0,0,,,,,,,,,,,,
fandroit,"0,0111720649596023","-1,96166084764915E-09","4,45801802001489E-08",0,0,0,"0,0079578565964185","3,72710558894501E-06","2,12970222260678E-13","-8,34019270406672E-13","2,39331655167276E-06","-4,6163827347066E-10","2,39447831194737E-06",0,0,0,0,0,0,package://boatcleaningd/meshes/fandroit.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://boatcleaningd/meshes/fandroit.STL,,Assemblage full bateau-1/corp motor avec axe-1/fans-3,Système de coordonnées3,AxeDroit,fandroitjoint,continuous,0,0,"-0,0055047","1,5691","-1,5708",0,axedroit,1,0,0,,,,,,,,,,,,
