Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_drone,0,0,0,0,0,0,"0,77242","0,00057079","1,9621E-10","1,0111E-11","0,00059684","1,6818E-11","0,00086065",0,0,0,0,0,0,package://dronesma/meshes/base_drone.STL,"0,50196","0,50196","0,50196",1,0,0,0,0,0,0,package://dronesma/meshes/base_drone.STL,,base_top-1;arm-4;motor.prt-2;motor.prt-4;arm-2;leg-2;leg-3;leg-1;leg-4;arm-1;base_bottom-1;motor.prt-1;arm-3;motor.prt-3,SC,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fan_AVD,"-1,1724E-10","4,7289E-10","-0,0022673",0,0,0,"0,079235","0,00056544","3,5825E-05","2,1611E-14","4,6143E-06","-8,9423E-14","0,00056968",0,0,0,0,0,0,package://dronesma/meshes/fan_AVD.STL,"0,59216","0,66667","0,68235",1,0,0,0,0,0,0,package://dronesma/meshes/fan_AVD.STL,,propeller.prt-4,Systèmecoordonnées_AVD,AxeAVD,fan_AVDjoint,continuous,"0,16299","-0,16299","0,2345",0,0,0,base_drone,0,0,-1,,,,,,,,,,,,
fan_AVG,"7,7389E-10","3,7683E-11","-0,0022673",0,0,0,"0,079235","0,00053874","0,0001247","6,9877E-14","3,1323E-05","2,427E-13","0,00056968",0,0,0,0,0,0,package://dronesma/meshes/fan_AVG.STL,"0,59216","0,66667","0,68235",1,0,0,0,0,0,0,package://dronesma/meshes/fan_AVG.STL,,propeller.prt-3,Systèmecoordonnées_AVG,AxeAVG,fan_AVGjoint,continuous,"0,16299","0,16299","0,2345",0,0,0,base_drone,0,0,-1,,,,,,,,,,,,
fan_AD,"-4,8444E-10","5,1936E-11","-0,0022673",0,0,0,"0,079235","4,7424E-05","0,00015317","9,1414E-14","0,00052263","-1,0346E-14","0,00056968",0,0,0,0,0,0,package://dronesma/meshes/fan_AD.STL,"0,59216","0,66667","0,68235",1,0,0,0,0,0,0,package://dronesma/meshes/fan_AD.STL,,propeller.prt-1,Systèmecoordonnées_AD,AxeAD,fan_ADjoint,continuous,"-0,16299","-0,16299","0,2345",0,0,0,base_drone,0,0,-1,,,,,,,,,,,,
fan_AG,"-2,8687E-10","3,938E-10","-0,0022673",0,0,0,"0,079235","0,00046072","0,00022147","5,3729E-14","0,00010934","-7,4677E-14","0,00056968",0,0,0,0,0,0,package://dronesma/meshes/fan_AG.STL,"0,59216","0,66667","0,68235",1,0,0,0,0,0,0,package://dronesma/meshes/fan_AG.STL,,propeller.prt-2,Système de coordonnées5,AxeAG,fan_AGjoint,continuous,"-0,16299","0,16299","0,2345",0,0,0,base_drone,0,0,-1,,,,,,,,,,,,
